A04_Mad502,A
B04_Reu3461,B
A01_Ald3,K
G01_Ald9,K
A07_Ari1,L
G02_Csne2,L
H09_Csn1,L
G10_GGL2,F
C09_EUR51,E
F06_JDN39,J
B02_Sil4,L
C05_Dig2,L
H05_GRA5,I
E04_Mau270,C
F01_Moh1,G
A02_Reu3926,B
G07_Mau3572,C
H06_Mau3721,C
D09_Reu2041,B
B08_Mau256,C
A09_Mau3863,C
B03_Mau3189,C
D02_Mau3001,C
H08_Mau3333,C
H07_Mau3099,C
C02_Mau3202,C
C08_Mau3856,C
C10_Reu2580,B
G08_Mau3628,C
E10_Reu3072,B
E06_Mau3680,C
B06_Mau3284,C
D04_Reu4006,B
C04_Reu3837,B
C06_Reu2000,B
E09_Reu268,B
A11_Rod56,D
H10_Rod124,D
D01_Reu5116,B
B10_Reu2320,B
E07_Mau3707,C
H01_Reu3824,B
F09_Mau3649,C
F10_Rod164,D
D07_Rod286,D
B01_Dig5,L
D06_Pra6,L
B11_Mah1,L
F08_Dig6,L
B05_Anj4,H
G05_Anj3,H
G03_GRA10,I
G09_Mau3357,C
F07_Mau3606,C
H03_Rod257,D
Reu_mur,B
Reu_punc,B
A06_Mau3268,C
