A	B	C	D	E	F	G	H	I	J	K	L
0	0.3709586065	0.4519726888	0.6873181518	0.2777825193	0.3427823253	0.3319393258	0.3260038018	0.3621445475	0.1895759786	0.436253249	0.7526050355
0.3709586065	0	0.0915971603	0.3253947317	0.6118400124	0.5323815805	0.6180587345	0.595216666	0.6476471273	0.5514334484	0.6337044652	0.7168949063
0.4519726888	0.0915971603	0	0.2367808511	0.7010125306	0.5688598363	0.6711952516	0.6454707685	0.699546107	0.6258292276	0.6657446561	0.6874888466
0.6873181518	0.3253947317	0.2367808511	0	0.9371416379	0.7546300966	0.8770725841	0.8480971409	0.9031733716	0.8558986694	0.8407611437	0.7339178337
0.2777825193	0.6118400124	0.7010125306	0.9371416379	0	0.5448112659	0.4539667145	0.4692051053	0.4741785312	0.2488070761	0.6100438375	1
0.3427823253	0.5323815805	0.5688598363	0.7546300966	0.5448112659	0	0.1550723513	0.1211234822	0.1692361407	0.3023315359	0.1040656399	0.4688288009
0.3319393258	0.6180587345	0.6711952516	0.8770725841	0.4539667145	0.1550723513	0	0.034038096	0.0309345541	0.2072234938	0.1668619312	0.6094968383
0.3260038018	0.595216666	0.6454707685	0.8480971409	0.4692051053	0.1211234822	0.034038096	0	0.0551072662	0.2205105326	0.1430073321	0.5789114327
0.3621445475	0.6476471273	0.699546107	0.9031733716	0.4741785312	0.1692361407	0.0309345541	0.0551072662	0	0.2302556543	0.1615083214	0.6105947162
0.1895759786	0.5514334484	0.6258292276	0.8558986694	0.2488070761	0.3023315359	0.2072234938	0.2205105326	0.2302556543	0	0.3613764208	0.7678511852
0.436253249	0.6337044652	0.6657446561	0.8407611437	0.6100438375	0.1040656399	0.1668619312	0.1430073321	0.1615083214	0.3613764208	0	0.4512355976
0.7526050355	0.7168949063	0.6874888466	0.7339178337	1	0.4688288009	0.6094968383	0.5789114327	0.6105947162	0.7678511852	0.4512355976	0
											
A	B	C	D	E	F	G	H	I	J	K	L
0	0.3709586065	0.4519726888	0.6873181518	0.2777825193	0.3427823253	0.3319393258	0.3260038018	0.3621445475	0.1895759786	0.436253249	0.7526050355
0.3709586065	0	0.0915971603	0.3253947317	0.6118400124	0.5323815805	0.6180587345	0.595216666	0.6476471273	0.5514334484	0.6337044652	0.7168949063
0.4519726888	0.0915971603	0	0.2367808511	0.7010125306	0.5688598363	0.6711952516	0.6454707685	0.699546107	0.6258292276	0.6657446561	0.6874888466
0.6873181518	0.3253947317	0.2367808511	0	0.9371416379	0.7546300966	0.8770725841	0.8480971409	0.9031733716	0.8558986694	0.8407611437	0.7339178337
0.2777825193	0.6118400124	0.7010125306	0.9371416379	0	0.5448112659	0.4539667145	0.4692051053	0.4741785312	0.2488070761	0.6100438375	1
0.3427823253	0.5323815805	0.5688598363	0.7546300966	0.5448112659	0	0.1550723513	0.1211234822	0.1692361407	0.3023315359	0.1040656399	0.4688288009
0.3319393258	0.6180587345	0.6711952516	0.8770725841	0.4539667145	0.1550723513	0	0.034038096	0.0309345541	0.2072234938	0.1668619312	0.6094968383
0.3260038018	0.595216666	0.6454707685	0.8480971409	0.4692051053	0.1211234822	0.034038096	0	0.0551072662	0.2205105326	0.1430073321	0.5789114327
0.3621445475	0.6476471273	0.699546107	0.9031733716	0.4741785312	0.1692361407	0.0309345541	0.0551072662	0	0.2302556543	0.1615083214	0.6105947162
0.1895759786	0.5514334484	0.6258292276	0.8558986694	0.2488070761	0.3023315359	0.2072234938	0.2205105326	0.2302556543	0	0.3613764208	0.7678511852
0.436253249	0.6337044652	0.6657446561	0.8407611437	0.6100438375	0.1040656399	0.1668619312	0.1430073321	0.1615083214	0.3613764208	0	0.4512355976
0.7526050355	0.7168949063	0.6874888466	0.7339178337	1	0.4688288009	0.6094968383	0.5789114327	0.6105947162	0.7678511852	0.4512355976	0
											
END											
