Island,Name,Organism,Sample,label,Alt_label
Mauritius,D08_Mau482,Cratopus deceptus,T-Mau 482,Cratopus deceptus (Mauritius),Cratopus aeneoniger group (Mauritius)
La Digue,F08_Dig6,Cratopus LaDigue_sp1,T-Dig6,Cratopus LaDigue_sp1 (La Digue),Cratopus LaDigue_sp1 (La Digue)
Reunion,E10_Reu3072,Cratopus septemvittatus,T-Reu 3072,Cratopus septemvittatus (Reunion),Cratopus septemvittatus (Reunion)
Reunion,D04_Reu4006,Cratopus humeralis,T-Reu 4006,Cratopus humeralis (Reunion),Cratopus humeralis group (Reunion)
Mauritius,E07_Mau3707,Scaevinus subtruncatus,T-Mau 3707,Scaevinus subtruncatus (Mauritius),Scaevinus subtruncatus (Mauritius)
Grande Comore,C03_GRA9,Cratopus subdenudatus,T-GRA9,Cratopus subdenudatus (Grande Comore),Cratopus subdenudatus (Grande Comore)
La Digue,C05_Dig2,Cratopus griseovestitus,T-Dig2,Cratopus griseovestitus (La Digue),Cratopus griseovestitus (La Digue)
Grande Comore,H05_GRA5,Cratopus GrandeComore_sp1,T-GRA5,Cratopus GrandeComore_sp1 (Grande Comore),Cratopus GrandeComore_sp1 (Grande Comore)
Anjouan,G05_Anj3,Cratopus Anjouan_sp1,T-Anj3,Cratopus Anjouan_sp1 (Anjouan),Cratopus Anjouan_sp1 (Anjouan)
Anjouan,B05_Anj4,Cratopus Anjouan_sp2,T-Anj4,Cratopus Anjouan_sp2 (Anjouan),Cratopus Anjouan_sp2 (Anjouan)
Juan de Nova,F06_JDN39,Cratopus adspersus,T-JDN39,Cratopus adspersus (Juan de Nova),Cratopus adspersus (Juan de Nova)
Moheli,F01_Moh1,Cratopus Moheli_sp1,T-Moh1,Cratopus Moheli_sp1 (Moheli),Cratopus Moheli_sp1 (Moheli)
Reunion,H01_Reu3824,Cratopus nigridorsis,T-Reu 3824,Cratopus nigridorsis (Reunion),Cratopus nigridorsis (Reunion)
Anjouan,E03_Anj1,Cratopus Anjouan_sp1,T-Anj1,Cratopus Anjouan_sp1 (Anjouan),Cratopus Anjouan_sp1 (Anjouan)
Mauritius,C07_Mau3399,Cratopus confusus,T-Mau 3399,Cratopus confusus (Mauritius),Cratopus aeneoniger group (Mauritius)
Reunion,E09_Reu268,Cratopopsis cribatus subgroup 3,T-Reu 268,Cratopopsis cribatus subgroup 3 (Reunion),Reunion Cratopopsis group
Mauritius,G08_Mau3628,Cratopus melanocephalus,T-Mau 3628,Cratopus melanocephalus (Mauritius),Cratopus melanocephalus (Mauritius)
Mahe,B11_Mah1,Cratopus Mahe_sp1,T-Mah1,Cratopus Mahe_sp1 (Mahe),Cratopus Mahe_sp1 (Mahe)
Rodrigues,H10_Rod124,Cratopus rocki,T-Rod 124,Cratopus rocki (Rodrigues),Cratopus rocki (Rodrigues)
Reunion,D05_Reu3232,Cratopopsis coquereli subgroup 4,T-Reu 3232,Cratopopsis coquereli subgroup 4 (Reunion),Reunion Cratopopsis group
Mauritius,H06_Mau3721,Cratopus aeneoniger,T-Mau 3721,Cratopus aeneoniger (Mauritius),Cratopus aeneoniger group (Mauritius)
Reunion,D01_Reu5116,Cratopus bernei,T-Reu 5116,Cratopus bernei (Reunion),Cratopus bernei (Reunion)
Mayotte,F03_May1,Cratopus ditissimus,T-May 1,Cratopus ditissimus (Mayotte),Cratopus ditissimus (Mayotte)
Praslin,D06_Pra6,Cratopus segregatus,T-Pra6,Cratopus segregatus (Praslin),Cratopus segregatus (Praslin)
Aldabra,G01_Ald9,Cratopus griseovestitus,T-Ald9,Cratopus griseovestitus (Aldabra),Cratopus griseovestitus (Aldabra)
Cousine Island,A05_Csne5,Cratopus griseovestitus,T-Csne5,Cratopus griseovestitus (Cousine Island),Cratopus griseovestitus (Cousine Island)
La Digue,B01_Dig5,Cratopus aurostriatus,T-Dig5,Cratopus aurostriatus (La Digue),Cratopus aurostriatus (La Digue)
Reunion,F04_Reu3329,Cratopus circumcinctus,T-Reu 3329,Cratopus circumcinctus (Reunion),Cratopus nigridorsis group (Reunion)
Mauritius,D02_Mau3001,Cratopus murinus,T-Mau 3001,Cratopus murinus (Mauritius),Cratopus murinus (Mauritius)
Mauritius,A03_Mau3277,Cratopus stigmaeus,T-Mau 3277,Cratopus stigmaeus (Mauritius),Cratopus stigmaeus (Mauritius)
Mauritius,E06_Mau3680,Cratopus fasciger,T-Mau 3680,Cratopus fasciger (Mauritius),Cratopus fasciger (Mauritius)
Reunion,E02_Reu3462,Cratopopsis alluaudi subgroup 1,T-Reu 3462,Cratopopsis alluaudi subgroup 1 (Reunion),Reunion Cratopopsis group
Reunion,C01_Reu3260,Cratopopsis obscurus,T-Reu 3260,Cratopopsis obscurus (Reunion),Cratopopsis obscurus (Reunion)
Reunion,B04_Reu3461,Cratopopsis bistigma,T-Reu 3461,Cratopopsis bistigma (Reunion),Cratopopsis bistigma (Reunion)
Mauritius,G09_Mau3357,Cratopus variegatus,T-Mau 3357,Cratopus variegatus (Mauritius),Cratopus variegatus (Mauritius)
Cousine Island,G02_Csne2,Cratopus griseovestitus,T-Csne2,Cratopus griseovestitus (Cousine Island),Cratopus griseovestitus (Cousine Island)
Rodrigues,A11_Rod56,Cratopopsis pauliani,T-Rod 56,Cratopopsis pauliani (Rodrigues),Cratopopsis pauliani (Rodrigues)
Reunion,G04_Reu4028,Cratopus leucophaetus,T-Reu 4028,Cratopus leucophaetus (Reunion),Cratopus humeralis group (Reunion)
Mauritius,F07_Mau3606,Cratopus nothus,T-Mau 3606,Cratopus nothus (Mauritius),Cratopus nothus (Mauritius)
Mauritius,C08_Mau3856,Cratopus cariei,T-Mau 3856,Cratopus cariei (Mauritius),Cratopus cariei (Mauritius)
Rodrigues,F10_Rod164,Cratopus virescens,T-Rod 164,Cratopus virescens (Rodrigues),Cratopus virescens (Rodrigues)
Mauritius,B06_Mau3284,Cratopus mundulus,T-Mau 3284,Cratopus mundulus (Mauritius),Cratopus mundulus (Mauritius)
Reunion,F02_Reu3834,Cratopus sumptuosus,T-Reu 3834,Cratopus sumptuosus (Reunion),Cratopus frappieri (Reunion)
Rodrigues,D07_Rod286,Cratopus viridipunctatus,T-Rod 286,Cratopus viridipunctatus (Rodrigues),Cratopus viridipunctatus (Rodrigues)
Reunion,A10_Reu4296,Cratopopsis nitidifrons subgroup 7,T-Reu 4296,Cratopopsis nitidifrons subgroup 7 (Reunion),Reunion Cratopopsis group
Aldabra,A01_Ald3,Cratopus viridsparsus,T-Ald3,Cratopus viridsparsus (Aldabra),Cratopus viridsparsus (Aldabra)
Mauritius,F09_Mau3649,Cratopus armatus,T-Mau 3649,Cratopus armatus (Mauritius),Cratopus armatus (Mauritius)
Mauritius,G07_Mau3572,Cratopus viridilimbatus,T-Mau 3572,Cratopus viridilimbatus (Mauritius),Cratopus viridilimbatus (Mauritius)
Grande Comore,G03_GRA10,Cratopus subdenudatus,T-GRA10,Cratopus subdenudatus (Grande Comore),Cratopus subdenudatus (Grande Comore)
Reunion,B10_Reu2320,Scaevinus dombayae,T-Reu 2320,Scaevinus dombayae (Reunion),Scaevinus dombayae (Reunion)
Reunion,G06_Reu245,Cratopus tristis,T-Reu 245,Cratopus tristis (Reunion),Cratopus tristis (Reunion)
Silhouette,B02_Sil4,Cratopus griseovestitus,T-Sil4,Cratopus griseovestitus (Silhouette),Cratopus griseovestitus (Silhouette)
Mauritius,A06_Mau3268,Cratopopsis mauritianus,T-Mau 3268,Cratopopsis mauritianus (Mauritius),Mauritius Cratopopsis group
Reunion,F05_Reu4873,Cratopopsis obscurus subgroup 6,T-Reu 4873,Cratopopsis obscurus subgroup 6 (Reunion),Reunion Cratopopsis group
Cousin Island,H09_Csn1,Cratopus griseovestitus,T-Csn1,Cratopus griseovestitus (Cousin Island),Cratopus griseovestitus (Cousin Island)
Mauritius,E04_Mau270,Cratopus punctum,T-Mau 270,Cratopus punctum (Mauritius),Cratopus punctum (Mauritius)
Reunion,A02_Reu3926,Cratopus frappieri,T-Reu 3926,Cratopus frappieri (Reunion),Cratopus frappieri (Reunion)
