RASP_node,R_Node,Madagascar,La_Reunion,Mauritius,Rodrigues,Europa,Grande_Glorieuse,Moheli,Anjouan,Grande_Comore,Juan_de_Nova,Aldabra,Seychelles,combined
node_110,1,53.51,8.68,32.65,0.58,0.56,0.56,0.57,0.56,0.57,0.56,0.56,0.64,5.16
node_109,2,1.55,11.9,86.01,0.06,0.05,0.05,0.06,0.06,0.06,0.05,0.06,0.09,2.09
node_95,3,0.06,7.19,92.64,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15
node_91,4,0.01,5.04,94.91,0.01,0,0,0.01,0,0,0,0,0,0.03
node_70,5,0,3.76,96.21,0,0,0,0,0,0,0,0,0,3.76
node_66,6,0,0.72,99.27,0,0,0,0,0,0,0,0,0,0.72
node_59,7,0.02,7.33,92.53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11
node_63,8,0,0.06,99.93,0,0,0,0,0,0,0,0,0,0.06
node_62,9,0,0.17,99.82,0,0,0,0,0,0,0,0,0,0.17
node_60,10,0.02,2.83,97.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.94
node_61,11,0,0.02,99.97,0,0,0,0,0,0,0,0,0,0.02
node_65,12,0.01,0.37,99.14,0.39,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85
node_64,13,0.01,0.04,2.77,97.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.9
node_69,14,0.01,14.28,85.65,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1
node_67,15,0.04,31.04,68.73,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22
node_68,16,0.04,32.62,67.15,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22
node_90,17,0.02,11,88.83,0.01,0.01,0.01,0.04,0.01,0.02,0.01,0.01,0.01,0.15
node_84,18,0.16,73.77,23.94,0.1,0.11,0.12,1.07,0.1,0.24,0.11,0.17,0.11,2.29
node_80,19,0.6,41.52,17.3,0.55,0.59,0.87,32.02,0.58,3.11,0.6,1.69,0.59,9.18
node_79,20,0.82,41.83,18.59,0.72,0.91,1.42,5.24,0.92,20.76,0.98,6.91,0.91,6.68
node_77,21,0.44,2.12,1.17,0.46,1.31,3.26,0.61,0.46,2.34,2.11,84.31,1.4,15.68
node_74,22,0.07,0.08,0.07,0.07,0.08,0.11,0.07,0.07,0.08,0.23,96.05,3.04,3.97
node_73,23,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.88,98.01,1.98
node_72,24,0,0,0,0,0,0,0,0,0,0,0.04,99.94,0.04
node_71,25,0,0,0,0,0,0,0,0,0,0,0,99.99,0
node_76,26,0.65,0.87,0.74,0.75,11.48,55.73,0.68,0.66,1.23,9.64,16.74,0.81,6.39
node_75,27,0.56,0.59,0.57,0.84,46.14,4.37,0.56,0.56,0.96,42.41,1.87,0.56,11.44
node_78,28,0.45,73.83,22.37,0.22,0.23,0.26,0.32,0.23,1.08,0.24,0.53,0.23,3.79
node_83,29,0.02,99.81,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22
node_82,30,0,99.99,0,0,0,0,0,0,0,0,0,0,0
node_81,31,0,100,0,0,0,0,0,0,0,0,0,0,0
node_89,32,0,0.69,99.29,0,0,0,0,0,0,0,0,0,0.69
node_88,33,0,0.5,99.49,0,0,0,0,0,0,0,0,0,0.5
node_85,34,0.02,5.24,94.63,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11
node_87,35,0,0.02,99.97,0,0,0,0,0,0,0,0,0,0.02
node_86,36,0,0,100,0,0,0,0,0,0,0,0,0,0
node_94,37,0.04,13.21,86.63,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13
node_93,38,0.07,74.86,24.9,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.25
node_92,39,0.08,80.88,18.68,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.44
node_108,40,0.25,7.41,91.6,0.1,0.06,0.06,0.06,0.07,0.07,0.06,0.06,0.21,1
node_107,41,0.9,31.76,61.82,0.8,0.26,0.26,0.27,0.39,0.41,0.26,0.36,2.49,6.4
node_104,42,1.04,9.47,19.73,9.3,0.78,0.78,0.8,2.23,2.56,0.78,1.09,51.44,10.06
node_100,43,0.97,2.22,8.66,57.91,0.93,0.93,1.11,9.96,8.84,0.93,0.97,6.59,8.06
node_97,44,0.01,0.01,0.1,99.75,0.01,0.01,0.01,0.03,0.02,0.01,0.01,0.02,0.24
node_96,45,0,0,0,99.98,0,0,0,0,0,0,0,0,0
node_99,46,0.52,0.63,1.09,4.61,0.52,0.52,0.71,49.48,39.94,0.52,0.52,0.94,10.58
node_98,47,0.01,0.01,0.01,0.02,0.01,0.01,0.02,99.81,0.07,0.01,0.01,0.01,0.19
node_103,48,0.01,0.03,0.04,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.03,99.79,0.21
node_102,49,0,0,0,0,0,0,0,0,0,0,0,99.98,0
node_101,50,0,0,0,0,0,0,0,0,0,0,0,100,0
node_106,51,0.16,90.69,8.63,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.11,0.68
node_105,52,0.11,91.27,8.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.57
