Bipartition,Mean_height,Median_height,Mean_age,Variance,CredInt_Lower,CredInt_Upper,Median,PSRF,Nruns
0,0.1786115,0.1774839,4.3535081,0.2013324,3.4857811,5.2368697,4.3250289,0.9999533,10.0000000
59,0.1706462,0.1697274,4.1593778,0.1582081,3.4045245,4.9568643,4.1363347,0.9999638,10.0000000
60,0.0588687,0.0583528,1.4348812,0.0613819,0.9558383,1.9259352,1.4221597,0.9999635,10.0000000
61,0.0108056,0.0103437,0.2633846,0.0077265,0.1085713,0.4391939,0.2520486,1.0000274,10.0000000
62,0.0438881,0.0432789,1.0697307,0.0511418,0.6455356,1.5236244,1.0547489,0.9999623,10.0000000
63,0.0163116,0.0158371,0.3975855,0.0151412,0.1663192,0.6407984,0.3860415,0.9999670,10.0000000
64,0.0219315,0.0214606,0.5345625,0.0235103,0.2480141,0.8433248,0.5229202,0.9999438,10.0000000
65,0.0132935,0.0128743,0.3240130,0.0118164,0.1254741,0.5439643,0.3139360,0.9999662,10.0000000
66,0.0385548,0.0378632,0.9397255,0.0484044,0.5300951,1.3873668,0.9227947,0.9999418,10.0000000
67,0.0688160,0.0680656,1.6773057,0.0860259,1.1312075,2.2757869,1.6590831,0.9999738,10.0000000
68,0.0658908,0.0652838,1.6060327,0.0743081,1.1004325,2.1651159,1.5909171,0.9999544,10.0000000
69,0.0454292,0.0448888,1.1073018,0.0510187,0.6845729,1.5604031,1.0943922,0.9999642,10.0000000
70,0.0648717,0.0641493,1.5812055,0.0533559,1.1478875,2.0386420,1.5629631,1.0000125,10.0000000
71,0.0284248,0.0274644,0.6928150,0.0550475,0.2671328,1.1582770,0.6697383,0.9999491,10.0000000
72,0.0375078,0.0369774,0.9142370,0.0307112,0.5850932,1.2645630,0.9012837,0.9999930,10.0000000
73,0.0251156,0.0244600,0.6121771,0.0167216,0.3834928,0.8740374,0.5963360,1.0000316,10.0000000
74,0.0786041,0.0781584,1.9158904,0.0809759,1.3710021,2.4818173,1.9046648,0.9999474,10.0000000
75,0.0368793,0.0364444,0.8989137,0.0283305,0.5799411,1.2335795,0.8882564,1.0000017,10.0000000
76,0.0636113,0.0630045,1.5504868,0.0564256,1.1063123,2.0313898,1.5356738,0.9999835,10.0000000
